noise_type,param_value,KF_clean,KF_noisy,RMSE_change,RMSE_ratio
drift,0.0,0.06233662080538483,0.06233662085237767,4.699283382564312e-11,1.0000000011611754
drift,0.00045454545454545455,0.06233662080538483,0.062289249255281905,-4.737155010292829e-05,0.9991126901161534
drift,0.0009090909090909091,0.06233662080538483,0.062245949235394706,-9.067156999012522e-05,0.9982915013872765
drift,0.0013636363636363637,0.06233662080538483,0.062206690419522266,-0.00012993038586256653,0.9975359279111955
drift,0.0018181818181818182,0.06233662080538483,0.06217147759846528,-0.00016514320691955262,0.9968459126502646
drift,0.0022727272727272726,0.06233662080538483,0.06214031921531376,-0.00019630159007107004,0.9962216755754817
drift,0.0027272727272727275,0.06233662080538483,0.06211321107059893,-0.0002234097347859038,0.9956631020764756
drift,0.003181818181818182,0.06233662080538483,0.062090167031493906,-0.0002464537738909255,0.9951703634370539
drift,0.0036363636363636364,0.06233662080538483,0.0620712049527957,-0.0002654158525891345,0.9947438339839781
drift,0.004090909090909091,0.06233662080538483,0.062056356680181245,-0.0002802641252035885,0.9943838774382365
drift,0.004545454545454545,0.06233662080538483,0.062045640615624016,-0.00029098018976081734,0.9940907930072285
drift,0.005,0.06233662080538483,0.062039075919726044,-0.00029754488565878986,0.9938648152677313
gaussian,0.0,0.06233662080538483,0.06233662085237767,4.699283382564312e-11,1.0000000011611754
gaussian,0.00045454545454545455,0.06233662080538483,0.062334954337381426,-1.6664680034084168e-06,0.9999517883704964
gaussian,0.0009090909090909091,0.06233662080538483,0.0623347202980947,-1.9005072901346135e-06,0.9999264565917368
gaussian,0.0013636363636363637,0.06233662080538483,0.06233588816023365,-7.326451511804541e-07,0.9999235086205378
gaussian,0.0018181818181818182,0.06233662080538483,0.06233843788333286,1.8170779480295578e-06,0.9999423821957335
gaussian,0.0022727272727272726,0.06233662080538483,0.062342419595450414,5.798790065579505e-06,0.9999838742195025
gaussian,0.0027272727272727275,0.06233662080538483,0.06234782258632347,1.1201780938643498e-05,1.0000479174794896
gaussian,0.003181818181818182,0.06233662080538483,0.06235469645216859,1.8075646783758705e-05,1.0001353888684745
gaussian,0.0036363636363636364,0.06233662080538483,0.06236299589420481,2.637508881997576e-05,1.00024563773979
gaussian,0.004090909090909091,0.06233662080538483,0.06237272720601785,3.610640063301966e-05,1.0003787843643088
gaussian,0.004545454545454545,0.06233662080538483,0.06238389358541085,4.7272780026009276e-05,1.000534668738156
gaussian,0.005,0.06233662080538483,0.06239649410507304,5.987329968820714e-05,1.0007132674244805
spike,0.0,0.06233662080538483,0.06233662085237767,4.699283382564312e-11,1.0000000011611754
spike,0.02727272727272727,0.06233662080538483,0.062336620836814925,3.143009481149095e-11,1.0000000009213177
spike,0.05454545454545454,0.06233662080538483,0.06233662082856099,2.3176161961790953e-11,1.0000000008323173
spike,0.08181818181818182,0.06233662080538483,0.06233662082236308,1.6978249813004443e-11,1.0000000006858225
spike,0.10909090909090909,0.06233662080538483,0.062336620827169044,2.1784211032271905e-11,1.0000000005806984
spike,0.13636363636363635,0.06233662080538483,0.062336620826755826,2.1370997055347728e-11,1.000000000568846
spike,0.16363636363636364,0.06233662080538483,0.06233662080321774,-2.1670970573595126e-12,1.0000000004281877
spike,0.1909090909090909,0.06233662080538483,0.06233662078307891,-2.2305928631949357e-11,1.000000000228872
spike,0.21818181818181817,0.06233662080538483,0.0623366208009084,-4.476439080525196e-12,1.0000000005328231
spike,0.24545454545454545,0.06233662080538483,0.06233662074642389,-5.896094151108811e-11,0.9999999997585445
spike,0.2727272727272727,0.06233662080538483,0.062336620718799675,-8.658515533027656e-11,0.9999999992528795
spike,0.3,0.06233662080538483,0.06233662070395135,-1.0143348130181584e-10,0.9999999989596258
